16:43:41.912	0:0:0:0:0:0:0:1:57250	admin	200		2.36 ms
16:43:41.919	0:0:0:0:0:0:0:1:57250	admin	REQUEST	[PROPFIND] http://localhost:8080/webdav/._BRjx_main
16:43:41.921	0:0:0:0:0:0:0:1:57250	admin	200		2.01 ms
16:43:41.925	0:0:0:0:0:0:0:1:57250	admin	REQUEST	[PROPFIND] http://localhost:8080/webdav/._BRjx_tables
16:43:41.928	0:0:0:0:0:0:0:1:57250	admin	200		2.19 ms
16:43:41.931	0:0:0:0:0:0:0:1:57250	admin	REQUEST	[PROPFIND] http://localhost:8080/webdav/._compare
16:43:41.932	0:0:0:0:0:0:0:1:57250	admin	200		1.71 ms
16:43:41.934	0:0:0:0:0:0:0:1:57250	admin	REQUEST	[PROPFIND] http://localhost:8080/webdav/._template_main
16:43:41.936	0:0:0:0:0:0:0:1:57250	admin	200		1.91 ms
16:43:43.947	0:0:0:0:0:0:0:1:57250	admin	REQUEST	[PROPFIND] http://localhost:8080/webdav/.DS_Store
16:43:43.950	0:0:0:0:0:0:0:1:57250	admin	200		2.38 ms
16:43:43.952	0:0:0:0:0:0:0:1:57250	admin	REQUEST	[PROPFIND] http://localhost:8080/webdav/.DS_Store
16:43:43.955	0:0:0:0:0:0:0:1:57250	admin	200		3.41 ms
16:43:43.958	0:0:0:0:0:0:0:1:57250	admin	REQUEST	[PUT] http://localhost:8080/webdav/.DS_Store
16:43:44.015	0:0:0:0:0:0:0:1:57250	admin	200		57.42 ms
16:43:44.026	0:0:0:0:0:0:0:1:57250	admin	REQUEST	[PROPFIND] http://localhost:8080/webdav/._.DS_Store
16:43:44.029	0:0:0:0:0:0:0:1:57250	admin	200		2.73 ms
16:43:44.032	0:0:0:0:0:0:0:1:57250	admin	REQUEST	[LOCK] http://localhost:8080/webdav/.DS_Store
16:43:44.159	0:0:0:0:0:0:0:1:57250	admin	200		126.67 ms
16:43:44.168	0:0:0:0:0:0:0:1:57250	admin	REQUEST	[PROPFIND] http://localhost:8080/webdav/.DS_Store
16:43:44.170	0:0:0:0:0:0:0:1:57250	admin	200		1.86 ms
16:43:44.183	0:0:0:0:0:0:0:1:57250	admin	REQUEST	[PROPFIND] http://localhost:8080/webdav/._BRjx_main
16:43:44.185	0:0:0:0:0:0:0:1:57250	admin	200		1.89 ms
16:43:44.191	0:0:0:0:0:0:0:1:57250	admin	REQUEST	[PROPFIND] http://localhost:8080/webdav/BRjx_main/
16:43:44.242	0:0:0:0:0:0:0:1:57250	admin	200		50.67 ms
16:43:44.251	0:0:0:0:0:0:0:1:57250	admin	REQUEST	[PROPFIND] http://localhost:8080/webdav/BRjx_main/._etc
16:43:44.263	0:0:0:0:0:0:0:1:57250	admin	200		12.13 ms
16:43:44.269	0:0:0:0:0:0:0:1:57250	admin	REQUEST	[PROPFIND] http://localhost:8080/webdav/BRjx_main/._var
16:43:44.284	0:0:0:0:0:0:0:1:57250	admin	200		14.26 ms
16:43:44.287	0:0:0:0:0:0:0:1:57250	admin	REQUEST	[PROPFIND] http://localhost:8080/webdav/BRjx_main/._bin
16:43:44.296	0:0:0:0:0:0:0:1:57250	admin	200		9.63 ms
16:43:44.314	0:0:0:0:0:0:0:1:57250	admin	REQUEST	[PROPFIND] http://localhost:8080/webdav/._.
16:43:44.316	0:0:0:0:0:0:0:1:57250	admin	200		1.96 ms
16:43:44.324	0:0:0:0:0:0:0:1:57250	admin	REQUEST	[PROPFIND] http://localhost:8080/webdav/BRjx_main/.DS_Store
16:43:44.334	0:0:0:0:0:0:0:1:57250	admin	200		9.66 ms
16:43:44.586	0:0:0:0:0:0:0:1:57250	admin	REQUEST	[PROPFIND] http://localhost:8080/webdav/
16:43:44.622	0:0:0:0:0:0:0:1:57250	admin	200		36.41 ms
