07:26:27.041	SERVER	admin	OK	Server wurde gestartet (Port: 1984).
07:49:59.651	127.0.0.1:62564	admin	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_main/bin/modules.xml/basex/client.js.class")	0.11 ms
07:49:59.669	127.0.0.1:62564	admin	OK	EXEC[0]	15.43 ms
07:49:59.770	127.0.0.1:62565	admin	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_main/bin/modules.xml/basex/client.js/package.json")	0.12 ms
07:49:59.787	127.0.0.1:62565	admin	OK	EXEC[0]	14.63 ms
07:49:59.867	127.0.0.1:62566	admin	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_main/bin/modules.xml/basex/client.js/index.js")	0.13 ms
07:49:59.884	127.0.0.1:62566	admin	OK	EXEC[0]	14.34 ms
07:49:59.962	127.0.0.1:62567	admin	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_main/bin/modules.xml/basex/client.js/index.json")	0.13 ms
07:49:59.979	127.0.0.1:62567	admin	OK	EXEC[0]	14.29 ms
07:50:00.063	127.0.0.1:62568	admin	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_main/bin/modules.xml/basex/client.js/index.class")	0.11 ms
07:50:00.083	127.0.0.1:62568	admin	OK	EXEC[0]	17.17 ms
07:50:00.184	127.0.0.1:62569	admin	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_main/bin/modules.xml/Args.js")	0.12 ms
07:50:00.204	127.0.0.1:62569	admin	OK	EXEC[0]	17.33 ms
07:50:00.282	127.0.0.1:62570	admin	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_main/bin/modules.xml/Args.json")	0.11 ms
